"position","const","created","modified","description","Name","Known for","Birth date (month/day/year)",

"1","nm0000134","Sun Mar  9 06:43:12 2014","Sun Mar  9 06:43:12 2014","","Robert De Niro","Actor, <a href=""http://www.imdb.com/title/tt0099685/"">Goodfellas</a>","1943-08-17"

"2","nm0000197","Sun Mar  9 06:42:57 2014","Sun Oct 25 08:42:50 2015","","Jack Nicholson","Actor, <a href=""http://www.imdb.com/title/tt0081505/"">The Shining</a>","1937-04-22"

"3","nm0000158","Sun Mar  9 06:42:14 2014","Sun Mar  9 06:42:14 2014","","Tom Hanks","Actor, <a href=""http://www.imdb.com/title/tt0382625/"">The Da Vinci Code</a>","1956-07-09"

"4","nm0000008","Sun Mar  9 06:44:17 2014","Sun Mar  9 06:44:17 2014","","Marlon Brando","Actor, <a href=""http://www.imdb.com/title/tt0068646/"">The Godfather</a>","1924-04-03"

"5","nm0000138","Sun Mar  9 06:41:58 2014","Sun Mar  9 06:41:58 2014","","Leonardo DiCaprio","Actor, <a href=""http://www.imdb.com/title/tt1375666/"">Inception</a>","1974-11-11"

"6","nm0000007","Thu Aug 13 10:05:55 2015","Thu Aug 13 10:05:55 2015","","Humphrey Bogart","Actor, <a href=""http://www.imdb.com/title/tt0034583/"">Casablanca</a>","1899-12-25"

"7","nm0000136","Sun Mar  9 06:44:51 2014","Sun Mar  9 06:44:51 2014","","Johnny Depp","Actor, <a href=""http://www.imdb.com/title/tt0099487/"">Edward Scissorhands</a>","1963-06-09"

"8","nm0000199","Sun Mar  9 06:43:25 2014","Sun Mar  9 06:43:25 2014","","Al Pacino","Actor, <a href=""http://www.imdb.com/title/tt0068646/"">The Godfather</a>","1940-04-25"

"9","nm0000243","Sun Mar  9 06:43:20 2014","Sun Mar  9 06:43:20 2014","","Denzel Washington","Actor, <a href=""http://www.imdb.com/title/tt0139654/"">Training Day</a>","1954-12-28"

"10","nm0000059","Sun Mar  9 06:43:41 2014","Sun Mar  9 06:43:41 2014","","Laurence Olivier","Actor, <a href=""http://www.imdb.com/title/tt0032976/"">Rebecca</a>","1907-05-22"

"11","nm0000093","Sun Mar  9 06:51:55 2014","Sun Mar  9 06:51:55 2014","","Brad Pitt","Actor, <a href=""http://www.imdb.com/title/tt0361748/"">Inglourious Basterds</a>","1963-12-18"

"12","nm0000358","Sun Mar  9 06:42:38 2014","Sun Mar  9 06:42:38 2014","","Daniel Day-Lewis","Actor, <a href=""http://www.imdb.com/title/tt0469494/"">There Will Be Blood</a>","1957-04-29"

"13","nm0000129","Sun Mar  9 06:45:05 2014","Sun Mar  9 06:45:05 2014","","Tom Cruise","Actor, <a href=""http://www.imdb.com/title/tt0092099/"">Top Gun</a>","1962-07-03"

"14","nm0000026","Sun Mar  9 06:45:34 2014","Sun Mar  9 06:45:34 2014","","Cary Grant","Actor, <a href=""http://www.imdb.com/title/tt0053125/"">North by Northwest</a>","1904-01-18"

"15","nm0000163","Sun Mar  9 06:43:59 2014","Sun Mar  9 06:43:59 2014","","Dustin Hoffman","Actor, <a href=""http://www.imdb.com/title/tt0079417/"">Kramer vs. Kramer</a>","1937-08-08"

"16","nm0000022","Thu Aug 13 10:07:25 2015","Thu Aug 13 10:07:25 2015","","Clark Gable","Actor, <a href=""http://www.imdb.com/title/tt0025316/"">It Happened One Night</a>","1901-02-01"

"17","nm0000576","Sun Mar  9 06:43:33 2014","Sun Mar  9 06:43:33 2014","","Sean Penn","Actor, <a href=""http://www.imdb.com/title/tt0327056/"">Mystic River</a>","1960-08-17"

"18","nm0000288","Sun Mar  9 06:42:31 2014","Sun Mar  9 06:42:31 2014","","Christian Bale","Actor, <a href=""http://www.imdb.com/title/tt0468569/"">The Dark Knight</a>","1974-01-30"

"19","nm0000060","Fri Apr  3 08:23:34 2015","Fri Apr  3 08:23:34 2015","","Gregory Peck","Actor, <a href=""http://www.imdb.com/title/tt0056592/"">To Kill a Mockingbird</a>","1916-04-05"

"20","nm0000148","Thu Aug 13 10:19:13 2015","Thu Aug 13 10:19:13 2015","","Harrison Ford","Actor, <a href=""http://www.imdb.com/title/tt0076759/"">Star Wars</a>","1942-07-13"

"21","nm0000075","Sun Mar  9 06:52:07 2014","Sun Mar  9 06:52:07 2014","","Spencer Tracy","Actor, <a href=""http://www.imdb.com/title/tt0055031/"">Judgment at Nuremberg</a>","1900-04-05"

"22","nm0000123","Sun Mar  9 06:44:08 2014","Sun Mar  9 06:44:08 2014","","George Clooney","Actor, <a href=""http://www.imdb.com/title/tt1454468/"">Gravity</a>","1961-05-06"

"23","nm0000032","Thu Aug 13 10:20:44 2015","Thu Aug 13 10:20:44 2015","","Charlton Heston","Actor, <a href=""http://www.imdb.com/title/tt0052618/"">Ben-Hur</a>","1923-10-04"

"24","nm0000164","Sun Mar  9 06:44:26 2014","Sun Mar  9 06:44:26 2014","","Anthony Hopkins","Actor, <a href=""http://www.imdb.com/title/tt0212985/"">Hannibal</a>","1937-12-31"

"25","nm0000128","Sun Mar  9 06:45:19 2014","Sun Mar  9 06:45:19 2014","","Russell Crowe","Actor, <a href=""http://www.imdb.com/title/tt0172495/"">Gladiator</a>","1964-04-07"

"51","nm0000078","Sun Mar  9 06:51:40 2014","Sun Mar  9 06:51:40 2014","","John Wayne","Actor, <a href=""http://www.imdb.com/title/tt0049730/"">The Searchers</a>","1907-05-26"

"52","nm0001627","Sun Mar  9 06:51:49 2014","Sun Mar  9 06:51:49 2014","","Sidney Poitier","Actor, <a href=""http://www.imdb.com/title/tt0061811/"">In the Heat of the Night</a>","1927-02-20"

"53","nm0000056","Sun Mar  9 06:52:15 2014","Sun Mar  9 06:52:15 2014","","Paul Newman","Actor, <a href=""http://www.imdb.com/title/tt0064115/"">Butch Cassidy and the Sundance Kid</a>","1925-01-26"

"54","nm0000354","Fri Apr  3 08:24:46 2015","Fri Apr  3 08:24:46 2015","","Matt Damon","Actor, <a href=""http://www.imdb.com/title/tt0258463/"">The Bourne Identity</a>","1970-10-08"

"55","nm0000380","Fri Apr  3 08:24:53 2015","Fri Apr  3 08:24:53 2015","","Robert Duvall","Actor, <a href=""http://www.imdb.com/title/tt0071562/"">The Godfather: Part II</a>","1931-01-05"

"56","nm0000015","Sun Mar  9 06:52:35 2014","Sun Mar  9 06:52:35 2014","","James Dean","Actor, <a href=""http://www.imdb.com/title/tt0048545/"">Rebel Without a Cause</a>","1931-02-08"

"57","nm0000018","Sun Mar  9 06:52:50 2014","Sun Mar  9 06:52:50 2014","","Kirk Douglas","Actor, <a href=""http://www.imdb.com/title/tt0054331/"">Spartacus</a>","1916-12-09"

"58","nm0000020","Sun Mar  9 06:53:21 2014","Sun Mar  9 06:53:21 2014","","Henry Fonda","Actor, <a href=""http://www.imdb.com/title/tt0064116/"">C'era una volta il West</a>","1905-05-16"

"59","nm0000245","Sun Mar  9 06:53:31 2014","Sun Mar  9 06:53:31 2014","","Robin Williams","Actor, <a href=""http://www.imdb.com/title/tt0119217/"">Good Will Hunting</a>","1951-07-21"

"60","nm0000080","Sun Mar  9 06:53:42 2014","Sun Mar  9 06:53:42 2014","","Orson Welles","Actor, <a href=""http://www.imdb.com/title/tt0033467/"">Citizen Kane</a>","1915-05-06"

"61","nm0910607","Sun Mar  9 06:53:48 2014","Sun Mar  9 06:53:48 2014","","Christoph Waltz","Actor, <a href=""http://www.imdb.com/title/tt1853728/"">Django Unchained</a>","1956-10-04"

"62","nm0005132","Sun Mar  9 06:53:58 2014","Sun Mar  9 06:53:58 2014","","Heath Ledger","Actor, <a href=""http://www.imdb.com/title/tt0468569/"">The Dark Knight</a>","1979-04-04"

"63","nm0000125","Sun Mar  9 06:54:06 2014","Sun Mar  9 06:54:06 2014","","Sean Connery","Actor, <a href=""http://www.imdb.com/title/tt0055928/"">Dr. No</a>","1930-08-25"

"64","nm0000228","Sun Mar  9 06:54:12 2014","Sun Mar  9 06:54:12 2014","","Kevin Spacey","Actor, <a href=""http://www.imdb.com/title/tt0169547/"">American Beauty</a>","1959-07-26"

"65","nm0000432","Sun Mar  9 06:54:34 2014","Sun Mar  9 06:54:34 2014","","Gene Hackman","Actor, <a href=""http://www.imdb.com/title/tt0105695/"">Unforgiven</a>","1930-01-30"

"66","nm0000553","Sun Mar  9 06:54:43 2014","Sun Mar  9 06:54:43 2014","","Liam Neeson","Actor, <a href=""http://www.imdb.com/title/tt0108052/"">Schindler's List</a>","1952-06-07"

"67","nm0001570","Sun Mar  9 06:55:18 2014","Sun Mar  9 06:55:18 2014","","Edward Norton","Actor, <a href=""http://www.imdb.com/title/tt0137523/"">Fight Club</a>","1969-08-18"

"68","nm0000246","Sun Mar  9 06:55:26 2014","Sun Mar  9 06:55:26 2014","","Bruce Willis","Actor, <a href=""http://www.imdb.com/title/tt0095016/"">Die Hard</a>","1955-03-19"

"69","nm0000011","Sun Mar  9 06:55:34 2014","Sun Mar  9 06:55:34 2014","","Gary Cooper","Actor, <a href=""http://www.imdb.com/title/tt0044706/"">High Noon</a>","1901-05-07"

"70","nm0000450","Fri Apr  3 08:25:45 2015","Fri Apr  3 08:25:45 2015","","Philip Seymour Hoffman","Actor, <a href=""http://www.imdb.com/title/tt0379725/"">Capote</a>","1967-07-23"

"71","nm0000602","Sun Mar  9 06:55:54 2014","Sun Mar  9 06:55:54 2014","","Robert Redford","Actor, <a href=""http://www.imdb.com/title/tt0064115/"">Butch Cassidy and the Sundance Kid</a>","1936-08-18"

"72","nm0000146","Sun Mar  9 06:56:02 2014","Sun Mar  9 06:56:02 2014","","Ralph Fiennes","Actor, <a href=""http://www.imdb.com/title/tt1201607/"">Harry Potter and the Deathly Hallows: Part 2</a>","1962-12-22"

"73","nm0001618","Sun Mar  9 06:56:24 2014","Sun Mar  9 06:56:24 2014","","Joaquin Phoenix","Actor, <a href=""http://www.imdb.com/title/tt0172495/"">Gladiator</a>","1974-10-28"

"74","nm0000226","Sun Mar  9 06:56:31 2014","Sun Mar  9 06:56:31 2014","","Will Smith","Actor, <a href=""http://www.imdb.com/title/tt0119654/"">Men in Black</a>","1968-09-25"

"75","nm0000537","Thu Aug 13 10:57:30 2015","Thu Aug 13 10:57:30 2015","","Steve McQueen","Actor, <a href=""http://www.imdb.com/title/tt0057115/"">The Great Escape</a>","1930-03-24"

"101","nm0000313","Sun Mar  9 07:04:04 2014","Sun Mar  9 07:04:04 2014","","Jeff Bridges","Actor, <a href=""http://www.imdb.com/title/tt0118715/"">The Big Lebowski</a>","1949-12-04"

"102","nm0252230","Fri Apr  3 08:26:37 2015","Fri Apr  3 08:26:37 2015","","Chiwetel Ejiofor","Actor, <a href=""http://www.imdb.com/title/tt2024544/"">12 Years a Slave</a>","1977-07-10"

"103","nm0001426","Sun Mar  9 07:04:32 2014","Sun Mar  9 07:04:32 2014","","Ben Kingsley","Actor, <a href=""http://www.imdb.com/title/tt0108052/"">Schindler's List</a>","1943-12-31"

"104","nm0000169","Sun Mar  9 07:04:53 2014","Sun Mar  9 07:04:53 2014","","Tommy Lee Jones","Actor, <a href=""http://www.imdb.com/title/tt0477348/"">No Country for Old Men</a>","1946-09-15"

"105","nm0000168","Sun Mar  9 07:05:08 2014","Sun Mar  9 07:05:08 2014","","Samuel L. Jackson","Actor, <a href=""http://www.imdb.com/title/tt0110912/"">Pulp Fiction</a>","1948-12-21"

"106","nm0000493","Thu Aug 13 10:58:45 2015","Thu Aug 13 10:58:45 2015","","Jack Lemmon","Actor, <a href=""http://www.imdb.com/title/tt0053604/"">The Apartment</a>","1925-02-08"

"107","nm0000582","Sun Mar  9 07:05:36 2014","Sun Mar  9 07:05:36 2014","","Joe Pesci","Actor, <a href=""http://www.imdb.com/title/tt0099685/"">Goodfellas</a>","1943-02-09"

"108","nm0001626","Sun Mar  9 07:05:54 2014","Sun Mar  9 07:05:54 2014","","Christopher Plummer","Actor, <a href=""http://www.imdb.com/title/tt0075627/"">Aces High</a>","1929-12-13"

"109","nm0001715","Sun Mar  9 07:06:01 2014","Sun Mar  9 07:06:01 2014","","George C. Scott","Actor, <a href=""http://www.imdb.com/title/tt0057012/"">Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb</a>","1927-10-18"

"110","nm0000151","Thu Aug 13 11:00:09 2015","Thu Aug 13 11:00:09 2015","","Morgan Freeman","Actor, <a href=""http://www.imdb.com/title/tt0111161/"">The Shawshank Redemption</a>","1937-06-01"

"111","nm0000686","Sun Mar  9 07:06:10 2014","Sun Mar  9 07:06:10 2014","","Christopher Walken","Actor, <a href=""http://www.imdb.com/title/tt0264464/"">Catch Me If You Can</a>","1943-03-31"

"112","nm0000237","Sun Mar  9 07:06:16 2014","Sun Mar  9 07:06:16 2014","","John Travolta","Actor, <a href=""http://www.imdb.com/title/tt0110912/"">Pulp Fiction</a>","1954-02-18"

