"position","const","created","modified","description","Name","Known for","Birth date (month/day/year)",

"26","nm0000031","Sun Mar  9 06:46:49 2014","Sun Mar  9 06:46:49 2014","","Katharine Hepburn","Actress, <a href=""http://www.imdb.com/title/tt0029947/"">Bringing Up Baby</a>","1907-05-12"

"27","nm0000658","Sun Mar  9 06:45:54 2014","Sun Mar  9 06:45:54 2014","","Meryl Streep","Actress, <a href=""http://www.imdb.com/title/tt0458352/"">The Devil Wears Prada</a>","1949-06-22"

"28","nm0000006","Sun Mar  9 06:49:01 2014","Sun Mar  9 06:49:01 2014","","Ingrid Bergman","Actress, <a href=""http://www.imdb.com/title/tt0034583/"">Casablanca</a>","1915-08-29"

"29","nm0000054","Sun Mar  9 07:02:09 2014","Sun Mar  9 07:02:09 2014","","Marilyn Monroe","Soundtrack, <a href=""http://www.imdb.com/title/tt0053291/"">Some Like It Hot</a>","1926-06-01"

"30","nm2225369","Sun Mar  9 06:46:04 2014","Sun Mar  9 06:46:04 2014","","Jennifer Lawrence","Actress, <a href=""http://www.imdb.com/title/tt1392170/"">The Hunger Games</a>","1990-08-15"

"31","nm0000701","Sun Mar  9 06:47:08 2014","Sun Mar  9 06:47:08 2014","","Kate Winslet","Actress, <a href=""http://www.imdb.com/title/tt0120338/"">Titanic</a>","1975-10-05"

"32","nm0000072","Sun Mar  9 06:49:41 2014","Sun Mar  9 06:49:41 2014","","Elizabeth Taylor","Actress, <a href=""http://www.imdb.com/title/tt0049261/"">Giant</a>","1932-02-27"

"33","nm0000949","Sun Mar  9 06:45:46 2014","Sun Mar  9 06:45:46 2014","","Cate Blanchett","Actress, <a href=""http://www.imdb.com/title/tt0421715/"">The Curious Case of Benjamin Button</a>","1969-05-14"

"34","nm0000030","Sun Mar  9 06:49:10 2014","Sun Mar  9 06:49:10 2014","","Audrey Hepburn","Actress, <a href=""http://www.imdb.com/title/tt0054698/"">Breakfast at Tiffany's</a>","1929-05-04"

"35","nm0000545","Sun Mar  9 06:47:22 2014","Sun Mar  9 06:47:22 2014","","Helen Mirren","Actress, <a href=""http://www.imdb.com/title/tt0436697/"">The Queen</a>","1945-07-26"

"36","nm0000012","Sun Mar  9 06:49:56 2014","Sun Mar  9 06:49:56 2014","","Bette Davis","Actress, <a href=""http://www.imdb.com/title/tt0042192/"">All About Eve</a>","1908-04-05"

