"position","const","created","modified","description","Name","Known for","Birth date (month/day/year)"

"1","nm0000186","Wed Dec  1 07:11:56 2010","Mon Dec  6 09:41:35 2010","","David Lynch","Writer, <a href=""http://www.imdb.com/title/tt0166924/"">Mulholland Dr.</a>","1946-01-20"

"2","nm0000040","Wed Dec  1 07:12:12 2010","Mon Dec  6 09:41:43 2010","","Stanley Kubrick","Director, <a href=""http://www.imdb.com/title/tt0066921/"">A Clockwork Orange</a>","1928-07-26"

"3","nm0000975","Wed Dec  1 07:12:22 2010","Mon Dec  6 09:41:30 2010","","Robert Bresson","Writer, <a href=""http://www.imdb.com/title/tt0049902/"">Un condamné à mort s'est échappé ou Le vent souffle où il veut</a>","1901-09-25"

"4","nm0000033","Wed Dec  1 07:12:34 2010","Mon Dec  6 09:41:30 2010","","Alfred Hitchcock","Director, <a href=""http://www.imdb.com/title/tt0054215/"">Psycho</a>","1899-08-13"

"5","nm0000217","Wed Dec  1 07:13:42 2010","Mon Dec  6 09:41:54 2010","","Martin Scorsese","Producer, <a href=""http://www.imdb.com/title/tt0993846/"">The Wolf of Wall Street</a>","1942-11-17"

"6","nm0000142","Wed Dec  1 07:13:58 2010","Wed Dec  1 07:13:58 2010","","Clint Eastwood","Actor, <a href=""http://www.imdb.com/title/tt0405159/"">Million Dollar Baby</a>","1930-05-31"

"7","nm0943758","Wed Dec  1 07:14:15 2010","Mon Dec  6 09:43:00 2010","","William Wyler","Director, <a href=""http://www.imdb.com/title/tt0052618/"">Ben-Hur</a>","1902-07-01"

"8","nm0000697","Wed Dec  1 07:14:23 2010","Mon Dec  6 09:42:11 2010","","Billy Wilder","Writer, <a href=""http://www.imdb.com/title/tt0053291/"">Some Like It Hot</a>","1906-06-22"

"9","nm0000406","Wed Dec  1 07:15:07 2010","Wed Dec  1 07:15:07 2010","","John Ford","Director, <a href=""http://www.imdb.com/title/tt0049730/"">The Searchers</a>","1894-02-01"

"10","nm0000485","Wed Dec  1 07:15:26 2010","Mon Dec  6 09:43:12 2010","","Fritz Lang","Director, <a href=""http://www.imdb.com/title/tt0022100/"">M</a>","1890-12-05"

"11","nm0003593","Wed Dec  1 07:15:59 2010","Wed Dec  1 07:15:59 2010","","Fred Zinnemann","Director, <a href=""http://www.imdb.com/title/tt0044706/"">High Noon</a>","1907-04-29"

"12","nm0001486","Wed Dec  1 07:16:11 2010","Mon Dec  6 09:43:27 2010","","Sidney Lumet","Director, <a href=""http://www.imdb.com/title/tt0050083/"">12 Angry Men</a>","1924-06-25"

